Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2010,19,27.7,20.5,86,0,3.3,3,45,1,NE
02-09-2010,18,26.7,20.8,89,70,1.7,2,315,0,NW
03-09-2010,19,25.4,21.1,91,20,4.1,2,270,0,W 
04-09-2010,18,27.4,22.3,84,39,2.4,2,315,1,NW
05-09-2010,18,25,21.2,86,0,5.5,4,135,1,SE
06-09-2010,18,25,20.5,92,7,0.7,3,315,1,NW
07-09-2010,19,24.9,20.3,86,9,0,2,135,0,SE
08-09-2010,19,23.4,20.1,89,7,1.9,2,135,0,SE
09-09-2010,18,26.2,21.7,80,18,0.5,2,135,0,SE
10-09-2010,18,26.6,20.3,87,9,3.3,3,270,1,W 
11-09-2010,18,25.4,21,81,12,2.1,3,360,1,N 
12-09-2010,18,25.6,21.5,82,8,4.7,4,135,1,SE
13-09-2010,18,25.1,21,88,0,2.1,3,135,1,SE
14-09-2010,18,25.4,21.9,84,21,2,3,135,1,SE
15-09-2010,19,24.5,20.7,90,3,1.8,3,315,1,NW
16-09-2010,19,25.5,21,84,1,1.1,4,315,1,NW
17-09-2010,19,25,20.7,87,2,1.4,3,270,1,W 
18-09-2010,18,25.1,21.2,86,29,1.7,3,270,1,W 
19-09-2010,19,28,22.5,82,0,1.9,3,315,1,NW
20-09-2010,19,26,22,86,1,3.3,4,135,1,SE
21-09-2010,20,24.2,21.2,90,2,2.3,2,270,0,W 
22-09-2010,19,25.2,20.2,88,5,1.4,2,270,0,W 
23-09-2010,19,25.6,20.7,86,33,2.4,3,135,1,SE
24-09-2010,19,25,20.7,90,20,2.2,2,315,0,NW
25-09-2010,19,26,21,84,30,1.9,2,270,0,W 
26-09-2010,20,26.6,22,80,7,0.3,5,180,1,S 
27-09-2010,20,24.4,21.2,91,2,3,5,270,1,W 
28-09-2010,19,27.6,22,84,16,1.3,3,315,1,NW
29-09-2010,19,26.6,22,84,0,5,2,315,0,NW
30-09-2010,18,26.7,21.7,86,4,3.8,2,270,0,W 
01-10-2010,19,26.9,22,86,0,4.3,4,315,1,NW
02-10-2010,19,25.7,21.2,91,4,2.8,2,45,0,NE
03-10-2010,20,26.8,21.9,82,5,3.4,4,315,1,NW
04-10-2010,20,26.3,23,71,12,1.6,11,90,2,E 
05-10-2010,19,25.6,21.6,87,0,1.1,5,90,1,E 
06-10-2010,20,26.1,21.3,92,0,0,2,270,0,W 
07-10-2010,19,26.4,21.1,85,38,3.2,2,135,0,SE
08-10-2010,19,25.4,20.5,88,9,2.8,2,135,0,SE
09-10-2010,19,25,20.9,87,18,1.9,2,270,0,W 
10-10-2010,16,27.4,20.6,68,0,2.7,3,315,0,NW
11-10-2010,17,27.2,21.5,59,0,6.5,3,270,0,W 
12-10-2010,15,27.1,22.2,70,0,6.1,3,135,0,SE
13-10-2010,20,26.8,21.6,88,2,5.7,4,270,1,W 
14-10-2010,19,26.4,21,86,0,2.3,3,315,1,NW
15-10-2010,19,26.6,22.2,80,40,3,2,270,0,W 
16-10-2010,19,27.4,22,79,8888,3.3,3,270,1,W 
17-10-2010,19,27.3,22.5,78,1,4.5,3,315,0,NW
18-10-2010,19,23.9,20.5,90,8888,2.9,4,225,1,SW
19-10-2010,18,25.6,20.7,88,30,0.7,3,135,0,SE
20-10-2010,17,23.8,21,95,7,2.8,2,180,0,S 
21-10-2010,18,27.4,22,84,78,0,2,315,0,NW
22-10-2010,18,27.8,20.7,90,5,3.9,3,315,1,NW
23-10-2010,19,26.2,22.7,80,16,2.1,2,315,0,NW
24-10-2010,19,25.4,20.7,95,6,3,5,45,1,NE
25-10-2010,19,24.8,20.8,91,12,1.5,2,315,0,NW
26-10-2010,18,26,20.4,95,19,1.6,2,315,0,NW
27-10-2010,18,25.8,21,88,27,2.2,3,180,0,S 
28-10-2010,18,24.4,20.5,92,2,2.9,3,315,0,NW
29-10-2010,18,24.1,20.1,95,19,0.5,1,315,0,NW
30-10-2010,19,23.7,19.9,94,10,1.7,2,270,0,W 
31-10-2010,19,25.8,21.9,82,67,5.3,2,315,0,NW
01-11-2010,19,26.6,22.1,84,0,1.7,2,270,0,W 
02-11-2010,20,26.5,22.2,82,0,0.7,2,270,0,W 
03-11-2010,19,27.4,22,79,8888,3.2,5,135,1,SE
04-11-2010,19,25.4,20.7,88,1,3.3,3,270,1,W 
05-11-2010,19,26.1,21.8,87,30,0.7,3,135,0,SE
06-11-2010,19,27.4,22.6,78,1,0.3,3,315,0,NW
07-11-2010,19,25.4,21.4,84,0,1.7,3,90,0,E 
08-11-2010,19,26.1,20.8,89,2,0.5,3,180,0,S 
09-11-2010,18,27.4,21.6,87,3,0,4,225,1,SW
10-11-2010,18,25.8,21.9,85,6,4.4,2,270,0,W 
11-11-2010,20,27.2,23.3,72,0,3.2,3,90,0,E 
12-11-2010,19,27.2,22.6,80,8888,3.7,1,135,0,SE
13-11-2010,19,24.8,20.5,92,5,2.3,6,45,2,NE
14-11-2010,19,24.2,20.8,89,57,0.9,2,315,0,NW
15-11-2010,19,25.4,21.3,85,6,0.3,2,315,0,NW
16-11-2010,19,25,20.5,87,2,1.1,2,270,0,W 
17-11-2010,19,24.7,21.3,86,17,0.7,3,180,0,S 
18-11-2010,20,25.9,21.7,86,0,1.7,2,135,0,SE
19-11-2010,19,25.6,21.8,89,6,1.5,2,360,0,N 
20-11-2010,19,26.5,21.9,89,4,1.1,2,270,0,W 
21-11-2010,19,26.4,21.2,89,7,3.9,3,315,0,NW
22-11-2010,18,25.8,22,83,9,1.5,2,315,0,NW
23-11-2010,18,24.2,21,95,1,3,2,315,0,NW
24-11-2010,20,25.8,21.8,88,1,0.3,2,225,0,SW
25-11-2010,18,25.6,20.6,92,28,1.3,4,315,1,NW
26-11-2010,20,23.9,21.1,92,53,1.3,2,315,0,NW
27-11-2010,19,25.3,20.7,90,1,0,2,270,0,W 
28-11-2010,19,24.6,20.7,92,14,2.5,4,180,1,S 
29-11-2010,19,26.1,21.6,86,30,1.8,2,270,0,W 
30-11-2010,19,26.1,21.6,86,2,2.6,3,315,0,NW
01-12-2010,19,24.8,21,86,5,2.2,4,315,1,NW
02-12-2010,20,25.8,22.1,86,38,2.4,2,315,0,NW
03-12-2010,19,26.2,21.9,90,8888,2.5,3,315,0,NW
04-12-2010,19,25.4,20.6,92,8,2.4,3,315,0,NW
05-12-2010,19,26.1,21.8,90,28,1.7,4,180,1,S 
06-12-2010,19,25.6,20.9,90,9,2.1,3,315,0,NW
07-12-2010,19,26,20.6,92,38,0.1,2,135,0,SE
08-12-2010,19,25.5,21.1,86,5,0.5,4,180,1,S 
09-12-2010,19,27.1,21.8,78,13,1.8,4,270,1,W 
10-12-2010,19,25.6,20.8,87,3,0.9,8,270,2,W 
11-12-2010,19,25.2,19.3,92,9,0.7,5,315,1,NW
12-12-2010,18,25.4,19.8,91,5,0,4,180,1,S 
13-12-2010,18,24.6,21.4,82,1,0.2,8,315,2,NW
14-12-2010,19,21.7,20.4,89,0,2,5,270,1,W 
15-12-2010,19,24.8,21,86,19,0,3,270,0,W 
16-12-2010,18,23.4,19.5,92,5,1.6,3,270,1,W 
17-12-2010,19,22.8,20.5,87,23,0,4,270,1,W 
18-12-2010,18,25.1,21.3,79,13,0,4,315,1,NW
19-12-2010,19,26.2,21.9,76,16,2.2,3,270,0,W 
20-12-2010,19,22.3,19.8,91,3,3.3,3,270,0,W 
21-12-2010,17,24.1,19.9,92,1,0,2,270,0,W 
22-12-2010,18,24,20,86,7,0.9,8,315,2,NW
23-12-2010,18,24.8,20.4,90,9,0.2,4,270,1,W 
24-12-2010,19,24.8,21.6,86,2,2.4,3,315,1,NW
25-12-2010,19,24.5,20.9,83,8888,2.1,2,90,0,E 
26-12-2010,19,23.7,20.3,82,2,3.3,1,180,0,S 
